"","INC_voteshare","BJP_voteshare","COUNT_1yr","INJURED_1yr","election","DISTRICT_ID_61"
"803",0.570334997387176,0.029875140369798,0.1586,0.7137,"1972","16"
"806",0.448608859551826,0.0138842564941865,0,0,"1975","16"
"811",0.446376177246273,0.0564002507502105,0,0,"1980","16"
"816",0.463763251109321,0.188303218628918,0.0793,0,"1985","16"
"821",0.265268195819862,0.237177148126462,0,0,"1990","16"
"826",0.3839438420537,0.341914633943842,0,0,"1995","16"
"829",0.263409614908252,0.483444008307769,0,0,"1998","16"
"852",0.369192627663519,0.113117216186061,0,0,"1967","17"
"854",0.380114816923953,0.0886429747741369,0,0,"1969","17"
"857",0.45120135952429,0.0760422326861534,0,0,"1972","17"
"862",0.321684462341177,0,0,0,"1977","17"
"865",0.453821240046524,0.0625486862902985,0,0,"1980","17"
"871",0.391486606393439,0.0474231995971126,0,0,"1985","17"
"877",0.535338982421483,0.200597090298768,0,0,"1992","17"
"882",0.265624829780049,0.0710955239350651,0,0,"1997","17"
"906",0.436919628061706,0.0234931434038482,0,0,"1967","19"
"911",0.512608866244937,0.0179495295286243,0,0,"1972","19"
"917",0.475715349454276,0,0,0,"1978","19"
"922",0.309150721921631,0.00330280405847918,0,0,"1983","19"
"924",0.38225137919107,0,0,0,"1985","19"
"929",0.504306385154464,0,0,0,"1989","19"
"934",0.296311247580071,0.00916203245168693,0,0,"1994","19"
"938",0.41475361658428,0.0374361463606315,0,0,"1999","19"
"960",0.263568036613482,0.190114531836065,0,0,"1967","28"
"962",0.265140225243699,0.131161235370201,0,0,"1969","28"
"967",0.275914691744159,0.0867535002833813,0,0,"1974","28"
"970",0.287908897340705,0,0,0,"1977","28"
"973",0.363156471846528,0.051327565166534,0,0,"1980","28"
"978",0.235133712634023,0.0450205478595298,2,10,"1985","28"
"983",0.21575614060934,0.0311212089093689,0,0,"1989","28"
"984",0.133475076413201,0.212724167246548,0,0,"1991","28"
"987",0.0741318033465602,0.259314017005342,0,0,"1993","28"
"990",0.0345188070434718,0.245301066732447,0,0,"1996","28"
"1014",0.212096334194624,0.444974315685447,0,0,"1967","32"
"1016",0.430587205804605,0.411419091545976,0,0,"1969","32"
"1021",0.324912488196637,0.391579790734718,0,0,"1974","32"
"1024",0.312254625418792,0,0,0,"1977","32"
"1027",0.32121043418679,0.305592878287449,0,0,"1980","32"
"1032",0.39586322482463,0.2396947400093,0,0,"1985","32"
"1037",0.244767744645107,0.175912641747165,0,0,"1989","32"
"1038",0.120343284738068,0.444335384780368,0,0,"1991","32"
"1041",0.0790625057781558,0.408120389031674,1,0,"1993","32"
"1044",0,0.348780346383396,0,0,"1996","32"
"1069",0.505951778243101,0.109031555157735,0,0,"1967","34"
"1073",0.486170033363864,0.144264821128023,0,0,"1972","34"
"1078",0.438569841942599,0,0,0,"1977","34"
"1081",0.441903269772122,0.226766402995911,0,0,"1980","34"
"1086",0.345818342147379,0.224104121855505,0,0,"1985","34"
"1091",0.297534682601646,0.213187271034773,0,0,"1990","34"
"1095",0.331926461492081,0.313907413278999,0,0,"1993","34"
"1099",0.376988357995782,0.288637005297859,0,0,"1998","34"
"1122",0.272140645786967,0.0142112919469346,0,0,"1967","35"
"1126",0.146683893195521,0.00862967064517452,0,0,"1971","35"
"1129",0.331615516282386,0.0130972026317326,0,0,"1974","35"
"1132",0.269466021675427,0,0,0,"1977","35"
"1135",0.465687454851914,0.0206722494225504,0,0,"1980","35"
"1140",0.474954329093811,0.0281277353466254,0,0,"1985","35"
"1145",0.217065782319587,0.0990804186239713,0,0,"1990","35"
"1150",0.333278638467298,0.106894052422312,0,0,"1995","35"
"1155",0.269800256936362,0.149042793828273,0,0,"2000","35"
"1176",0.264814571605838,0,0,0,"1967","36"
"1180",0.315373671881707,0.0112442920041044,0,0,"1971","36"
"1183",0.424983314012716,0.00429524457346146,0,0,"1974","36"
"1186",0.315846377310539,0,0,0,"1977","36"
"1189",0.456979442222443,0.00410944887340008,0,0,"1980","36"
"1194",0.510416951583384,0.0151732273819731,0,0,"1985","36"
"1199",0.319969879625949,0.00792495335102592,0,0,"1990","36"
"1204",0.368072260207228,0.0571319110536812,0,0,"1995","36"
"1209",0.39714135765244,0.205656126617133,0,0,"2000","36"
"1230",0.275888954695735,0.138439278190528,0,0,"1967","37"
"1232",0.329099499011656,0.0634904744052893,0,0,"1969","37"
"1237",0.308587163906011,0.0952130649007201,0,0,"1974","37"
"1240",0.32163000395167,0,0,0,"1977","37"
"1243",0.357132392621426,0.0554005010783756,0,0,"1980","37"
"1248",0.29088509111803,0.0322185900969803,0,0,"1985","37"
"1253",0.26996080474543,0.0391606978855297,0,0,"1989","37"
"1254",0.264511399821152,0.135046578951357,0,0,"1991","37"
"1257",0.14397183619673,0.261856313732744,0,0,"1993","37"
"1260",0.105547792887647,0.293441638950662,0,0,"1996","37"
"1284",0.454789107128883,0,0,0,"1967","39"
"1289",0.50589942561785,0.109677222940106,0,0,"1972","39"
"1292",0.400213546802341,0.0967174472405202,0,0,"1975","39"
"1297",0.512531176476528,0.0790443589510567,0,0,"1980","39"
"1302",0.565420750645857,0.0736674052500702,0,0,"1985","39"
"1307",0.275367530094185,0.256358807034678,1,5,"1990","39"
"1312",0.320123882034127,0.372236725861367,0,0,"1995","39"
"1315",0.36799170891452,0.421940391796526,0,0,"1998","39"
"1338",0.2640380783706,0.291388089439894,0,0,"1967","40"
"1340",0.36957262079231,0.1551521598549,0,0,"1969","40"
"1345",0.32787863619737,0.147418003067465,0,0,"1974","40"
"1348",0.10765221305896,0,0,0,"1977","40"
"1351",0.446513904943224,0.089372407697015,0,0,"1980","40"
"1356",0.351562739343288,0.0714491412745777,0,0,"1985","40"
"1361",0.217942691037065,0.108385878050253,0,0,"1989","40"
"1362",0.119493421746313,0.258129971765643,0,0,"1991","40"
"1365",0.141132767129464,0.306024533322878,0,0,"1993","40"
"1368",0.0557833597344799,0.279720902164894,0,0,"1996","40"
"1393",0.407108294666677,0.010406235587593,0,0,"1967","41"
"1397",0.455452575168157,0.0504789681548614,0,0,"1972","41"
"1403",0.37115417696626,0,0,0,"1978","41"
"1408",0.350069505982053,0.0664397172945692,2,32,"1983","41"
"1410",0.385469695215569,0.0323843601193213,1,65,"1985","41"
"1414",0.47582738837698,0.043676114386746,0,0,"1989","41"
"1420",0.27429194561645,0.235653809307149,2,23,"1994","41"
"1425",0.421211777042488,0.263753311715095,0,0,"1999","41"
"1446",0.459645155210942,0.0262606682281991,0,0,"1967","44"
"1448",0.385832432551302,0.00877776142555311,0,0,"1969","44"
"1450",0.293137950109708,0.00614811157188947,0,0,"1971","44"
"1451",0.528902268855088,0.00276957590989338,0,0,"1972","44"
"1456",0.205659817340489,0,0,0,"1977","44"
"1461",0.388864966384228,0.00198846924326822,0,0,"1982","44"
"1466",0.390947082263947,0.000951472376063758,0,0,"1987","44"
"1470",0.285271577251383,0.0754448554853774,0,0,"1991","44"
"1475",0.301360357820825,0.0726365236658105,0,0,"1996","44"
"1480",0.0282551070199269,0.0688330014374827,0,0,"2001","44"
"1500",0.481651969859822,0.0199377613208556,0,0,"1967","45"
"1505",0.487563003709863,0.0142100550083152,0,0,"1972","45"
"1510",0.319235949312335,0,0,0,"1977","45"
"1513",0.46811250796328,0.0990059077222041,0,0,"1980","45"
"1518",0.528660083402046,0.121295927344746,0,0,"1985","45"
"1523",0.38767502387556,0.169023710796025,0,0,"1990","45"
"1526",0.376022573684585,0.235674747139428,0,0,"1993","45"
"1531",0.435803547806909,0.203070704914862,0,0,"1998","45"
"1554",0.347004572467043,0.120412348090594,0,0,"1967","46"
"1556",0.33519740674493,0.080328771379163,0,0,"1969","46"
"1561",0.273623493222579,0.170054885001447,0,0,"1974","46"
"1564",0.235635374519078,0,0,0,"1977","46"
"1567",0.309872428409813,0.0578875639533585,0,0,"1980","46"
"1572",0.312108351158377,0.0788758171903715,0,0,"1985","46"
"1577",0.299802460099389,0.109469668043635,0.1842,9.21,"1989","46"
"1578",0.164531366891098,0.263507534466175,0,0,"1991","46"
"1581",0.133933377857104,0.339189377152085,0.1842,0,"1993","46"
"1584",0.13573223763458,0.283635849156709,0,0,"1996","46"
"1608",0.311299168084777,0.313678263797923,0,0,"1967","48"
"1610",0.371125176367959,0.244601724700912,0,0,"1969","48"
"1615",0.293302928732348,0.274313973295236,0,0,"1974","48"
"1618",0.341194448683385,0,0,0,"1977","48"
"1621",0.292317421761167,0.15237056613672,0,0,"1980","48"
"1626",0.380629414068302,0.161180168257869,0,0,"1985","48"
"1631",0.179907453942657,0.196515897024366,0,0,"1989","48"
"1632",0.235412579128568,0.409393008304643,0,0,"1991","48"
"1635",0.124020472060237,0.359523851640457,0,0,"1993","48"
"1638",0.0836457431584898,0.366590110064838,0,0,"1996","48"
"1662",0.489982401516177,0.0473928400014768,0,0,"1967","50"
"1667",0.558722741433022,0.0199376947040498,0,0,"1972","50"
"1672",0.519492827669051,0,0,0,"1977","50"
"1675",0.518860711749335,0.0862791337766617,0,0,"1980","50"
"1680",0.490408332525501,0.133927898234616,0,0,"1985","50"
"1685",0.374078603174891,0.178916035764603,0,0,"1990","50"
"1688",0.376778433826522,0.279115255564684,0,0,"1993","50"
"1693",0.586332969347165,0.351209279047396,0,0,"1998","50"
"1716",0.470806498048129,0,0,0,"1967","52"
"1721",0.532869666926384,0.100110857974094,1,0,"1972","52"
"1724",0.380757001106151,0.0631906351730931,0,0,"1975","52"
"1729",0.519381753486642,0.131250396835167,0,0,"1980","52"
"1734",0.556199228515828,0.0890623304731631,0,0,"1985","52"
"1739",0.322287849477393,0.166723467342063,0,0,"1990","52"
"1744",0.341059508963452,0.413574020027118,0,0,"1995","52"
"1747",0.427197658814168,0.456339971985276,0,0,"1998","52"
"1770",0.357638906763999,0.347842202533861,0,0,"1967","54"
"1772",0.387127913416597,0.293302053302002,0,0,"1969","54"
"1777",0.338317741950103,0.237737962038868,0,0,"1974","54"
"1780",0.325850065583695,0,0,0,"1977","54"
"1783",0.364928999071289,0.117052027650299,0,0,"1980","54"
"1788",0.367037188651321,0.140931411138628,0,0,"1985","54"
"1793",0.259833558574579,0.145786767310347,0,0,"1989","54"
"1794",0.192060892874281,0.307261717793876,0,0,"1991","54"
"1797",0.142327183520041,0.351631623622275,0,0,"1993","54"
"1800",0.0689627127833817,0.261486066712603,0,0,"1996","54"
"1824",0.40939082554058,0.0496201870260711,0,0,"1967","55"
"1829",0.563326629192237,0.00494731232702456,0,0,"1972","55"
"1836",0.0314790512399624,0,0,0,"1978","55"
"1837",0.338410987447783,0.0929144585917073,0,0,"1980","55"
"1842",0.407397613210078,0.0624596251704715,0,0,"1985","55"
"1848",0.417038948546482,0.132528385254599,1,0,"1990","55"
"1852",0.259204912520533,0.21219420772377,0,0,"1995","55"
"1857",0.142871921309666,0.301941180527418,0,0,"1999","55"
"1879",0.590395581483572,0.00889408644066278,0,0,"1967","57"
"1883",0.511974549988475,0.0162952368978018,0,0,"1972","57"
"1889",0.387885940226546,0,0,0,"1978","57"
"1894",0.433063882382562,0.0175880643020089,0,0,"1983","57"
"1896",0.413646595169647,0.000985264500050712,1,4,"1985","57"
"1900",0.334707461388015,0.000930153599128556,0,0,"1989","57"
"1906",0.274936995001485,0.065766199421211,0,0,"1994","57"
"1911",0.397468962322693,0.143496896966125,0,0,"1999","57"
"1933",0.543833196151335,0,0,0,"1967","58"
"1937",0.533493979661863,0.00445286667914405,0,0,"1972","58"
"1943",0.532118237734692,0,0,0,"1978","58"
"1948",0.486669923887002,0.0109587804653116,0,0,"1983","58"
"1950",0.439217605971123,0.013260975220329,0,0,"1985","58"
"1954",0.469668371310639,0.000452620130111399,0,0,"1989","58"
"1960",0.307403270403399,0.121843584625808,0,0,"1994","58"
"1965",0.47441721903627,0.166153228117926,0,0,"1999","58"
"1987",0.399536147472079,0.385012609583283,0,0,"1967","59"
"1991",0.435920280044055,0.273576103655585,0,0,"1972","59"
"1996",0.335204094722529,0,0,0,"1977","59"
"1999",0.367013080888461,0.382706342614022,0,0,"1980","59"
"2004",0.438255232950709,0.30718163403106,0,0,"1985","59"
"2009",0.330543778937637,0.533207606938034,0,0,"1990","59"
"2013",0.454614710585033,0.403500742244076,0,0,"1993","59"
"2017",0.424081719817768,0.391331760494631,0,0,"1998","59"
"2040",0.267664898938826,0.216430025003535,0,0,"1967","61"
"2042",0.301615154350441,0.192788068497962,0,0,"1969","61"
"2045",0.311979666923011,0.19323602898708,0,0,"1972","61"
"2050",0.172760123868882,0,0,0,"1977","61"
"2053",0.362163039336968,0.103574099595953,0,0,"1980","61"
"2058",0.457529059923214,0.0496782906359523,0,0,"1985","61"
"2063",0.215764873750115,0.179229604896863,2,0,"1990","61"
"2068",0.151291968648147,0.127157548482712,0,0,"1995","61"
"2073",0.106190905170817,0.123180723161015,0,0,"2000","61"
"2094",0.374614596104758,0.146925813518783,0,0,"1967","62"
"2099",0.445928926074946,0.138481352198744,0,0,"1972","62"
"2106",0.453972022730832,0,0,0,"1978","62"
"2107",0.414221343360996,0.219845695020747,0,0,"1980","62"
"2112",0.376204252602592,0.214315373181364,0,0,"1985","62"
"2118",0.257870579656107,0.2551747349526,0,0,"1990","62"
"2122",0.259046943434544,0.298360917969395,0,0,"1995","62"
"2127",0.352986099731543,0.302943312556771,0,0,"1999","62"
"2147",0.28285192532305,0.0115639889504811,0,0,"1967","63"
"2152",0.396104605600265,0.214629110528378,0,0,"1972","63"
"2157",0.204570766188604,0,0,0,"1977","63"
"2160",0.33535189169315,0.0370329922351939,0,0,"1980","63"
"2165",0.358181911660001,0.108445598034465,0,0,"1985","63"
"2170",0.287578945281129,0.0922172593965953,0,0,"1990","63"
"2173",0.350205908905406,0.249883357636168,0,0,"1993","63"
"2178",0.347096018827685,0.228824767709101,0,0,"1998","63"
"2201",0.468049254698639,0,0,0,"1967","64"
"2206",0.595043043599,0.0221829914970709,0,0,"1972","64"
"2209",0.462975438393593,0,0,0,"1975","64"
"2214",0.655428270369945,0.0296287040101588,0,0,"1980","64"
"2219",0.721623613969346,0.0042602205362902,0,0,"1985","64"
"2224",0.314446907657845,0.424711678401828,0,0,"1990","64"
"2229",0.28807969224495,0.448181291919788,0,0,"1995","64"
"2232",0.338736439857705,0.337146304979071,0,0,"1998","64"
"2255",0.365681728702796,0.0342701236041557,0,0,"1967","65"
"2257",0.426580457856677,0,0,0,"1969","65"
"2260",0.305816228096449,0.00681661850278139,0,0,"1972","65"
"2265",0.270525716311575,0,0,0,"1977","65"
"2268",0.430962533623463,0,0,0,"1980","65"
"2274",0.310323582828678,0.00256512827101303,0,0,"1985","65"
"2280",0.485911993954889,0.0498669868643059,0,0,"1992","65"
"2285",0.236603525073494,0,0,0,"1997","65"
"2309",0.43110755532259,0.11019687496767,0,0,"1967","66"
"2314",0.505833490885361,0.115413467344039,0,0,"1972","66"
"2317",0.420941784972197,0.115091102906398,0,0,"1975","66"
"2322",0.49250690330018,0.134198205751247,0,0,"1980","66"
"2327",0.505458729814652,0.0927913162740852,0,0,"1985","66"
"2332",0.254157616676295,0.141384785688698,0,0,"1990","66"
"2337",0.378240348654633,0.415406223242553,0,0,"1995","66"
"2340",0.336878213463134,0.514040362001711,0,0,"1998","66"
"2362",0.559160359729511,0.0912555113606292,0,0,"1967","67"
"2367",0.606664924604578,0.111947984075503,0,0,"1972","67"
"2372",0.314874074558321,0,0,0,"1977","67"
"2375",0.480043596926597,0.176312336549057,0,0,"1980","67"
"2380",0.576898971578338,0.201434852383982,0,0,"1985","67"
"2385",0.375930368082708,0.281494425173654,2,33,"1990","67"
"2388",0.375774703388771,0.456737916097509,0,0,"1993","67"
"2393",0.502018335088704,0.411475344892827,0,0,"1998","67"
"2417",0.198337988644805,0.253975838716263,0,0,"1967","68"
"2421",0.373533534873517,0.233831234266293,0,0,"1972","68"
"2426",0.25981391814211,0,0,0,"1977","68"
"2429",0.321453357541939,0.268747064472937,0,0,"1980","68"
"2434",0.392532069458217,0.297313737355177,0,0,"1985","68"
"2439",0.203091321403202,0.27322701830529,0,0,"1990","68"
"2443",0.301356521453257,0.285917408760474,0,0,"1993","68"
"2447",0.274594295898221,0.362988295008957,0,0,"1998","68"
"2471",0.47096532684479,0.100669131065463,0,0,"1967","72"
"2475",0.389517994224341,0.00573274918793205,0,0,"1972","72"
"2481",0.388142124778741,0,0,0,"1978","72"
"2486",0.365647449684813,0.149529234564534,0,0,"1983","72"
"2488",0.36840417368198,0.0685553608448155,0,0,"1985","72"
"2492",0.29667999473345,0.0805874512901892,0,0,"1989","72"
"2498",0.248433199524637,0.19972786640292,0,0,"1994","72"
"2503",0.282474708171206,0.330300043233895,0,0,"1999","72"
"2525",0.571801787138127,0.0359364344183766,0,0,"1967","73"
"2529",0.51682133124047,0.0352073214734066,0,0,"1972","73"
"2535",0.414085898867549,0,0,0,"1978","73"
"2540",0.431752474146558,0.1289133972888,1,50,"1983","73"
"2542",0.417402971471046,0.0319136698286847,1,26,"1985","73"
"2546",0.460493607638827,0.0279370187947865,0,0,"1989","73"
"2552",0.272491909385113,0.154405623235009,0,0,"1994","73"
"2557",0.448951480009101,0.178362158637669,0,0,"1999","73"
"2578",0.385638798619924,0.213547435831603,0,0,"1967","74"
"2580",0.37159245083224,0.0743202550215643,0,0,"1969","74"
"2585",0.315567838983945,0.041678094474567,0,0,"1974","74"
"2588",0.349963368778181,0,0,0,"1977","74"
"2591",0.342528621441082,0.0966595900455049,0,0,"1980","74"
"2596",0.440862713694311,0.0626050149791579,0,0,"1985","74"
"2601",0.161384655915917,0.0685492033999362,0,0,"1989","74"
"2602",0.0697099051824499,0.47771012769046,2,20,"1991","74"
"2605",0.0660963030898749,0.359590210118076,0,0,"1993","74"
"2608",0,0.314652679292627,0,0,"1996","74"
"2632",0.327121245340934,0.0533609538138188,0,0,"1967","75"
"2637",0.539452623931527,0.06853552495658,0,0,"1972","75"
"2642",0.236351677263758,0,0,0,"1977","75"
"2645",0.403206190328882,0.102037875930689,0,0,"1980","75"
"2650",0.461332506331731,0.00823555762305956,0,0,"1985","75"
"2655",0.35307678136654,0.0421199643502636,0,0,"1990","75"
"2658",0.359929881759209,0.383455221464221,0,0,"1993","75"
"2663",0.439050225086062,0.354400211845706,0,0,"1998","75"
"2686",0.407039080692518,0,0,0,"1967","76"
"2688",0.375501952676315,0.00779692166322077,0,0,"1969","76"
"2690",0.198173397226618,0,0,0,"1971","76"
"2691",0.426760485625825,0,0,0,"1972","76"
"2696",0.23010155732412,0,0,0,"1977","76"
"2701",0.397191229453481,0.0038668276197321,0,0,"1982","76"
"2706",0.411156159806633,0,0,0,"1987","76"
"2710",0.271584938893974,0.18955145530822,0,0,"1991","76"
"2715",0.344026940138097,0.108385275098702,0,0,"1996","76"
"2720",0.0750763603677125,0.0605612376145406,0,0,"2001","76"
"2744",0.13827694016248,0.018324259726464,0,0,"1971","79"
"2747",0.347049850932538,0.0113447271718783,0,0,"1974","79"
"2750",0.353292527178145,0,0,0,"1977","79"
"2753",0.549766508699713,0,0,0,"1980","79"
"2758",0.506688328692743,0.0289765227103898,0,0,"1985","79"
"2763",0.376241270331228,0.0690446208403633,0,0,"1990","79"
"2768",0.351666931439076,0.104731861198738,0,0,"1995","79"
"2773",0.385079025999486,0.0865594959641983,0,0,"2000","79"
"2794",0.330199619715905,0.433317831556516,0,0,"1967","80"
"2796",0.219760579473149,0.239572523244966,0,0,"1969","80"
"2801",0.15713782164258,0.15626164459439,0,0,"1974","80"
"2804",0.337228557167676,0,0,0,"1977","80"
"2807",0.343381321425337,0.143925461659739,0,0,"1980","80"
"2812",0.37410135173918,0.149735248536333,0,0,"1985","80"
"2817",0.294010253383986,0.206191284096717,0,0,"1989","80"
"2818",0.203737636456366,0.322006648517222,0,0,"1991","80"
"2821",0.171317815879299,0.310295073927218,0,0,"1993","80"
"2824",0,0.267853651015696,0,0,"1996","80"
"2848",0.269771048559718,0.158334554264743,0,0,"1967","81"
"2850",0.240222963443845,0.144699181635897,0,0,"1969","81"
"2855",0.343740057380156,0.142523564873606,0,0,"1974","81"
"2858",0.320834314726126,0,0,0,"1977","81"
"2861",0.401205197024562,0.118486923026567,0,0,"1980","81"
"2866",0.413423201063224,0.12932111797194,0.9999,3.9996,"1985","81"
"2871",0.248335380993702,0.0586182158720885,0,0,"1989","81"
"2872",0.161931723727747,0.313023422482677,2.27117286,4.88471148,"1991","81"
"2875",0.163324318319633,0.383992810262081,0.27137286,0,"1993","81"
"2878",0.149144456363409,0.44622824036097,0,0,"1996","81"
"2902",0.480221008314306,0.21255431274507,0,0,"1967","82"
"2907",0.514980945806659,0.145197208537035,0,0,"1972","82"
"2914",0.335781076654868,0,0,0,"1978","82"
"2915",0.404505997474747,0.187567077020202,0,0,"1980","82"
"2920",0.378370964126686,0.104560524299713,0,0,"1985","82"
"2926",0.344105305768472,0.143481467604826,1,3,"1990","82"
"2930",0.243865888393066,0.147993480830413,0,0,"1995","82"
"2935",0.280403522795227,0.207325534992468,0,0,"1999","82"
"2954",0.426714193771969,0.365770582702114,0,0,"1967","84"
"2959",0.7254730713246,0.153375181950509,0,0,"1972","84"
"2964",0.269324189169881,0,0,0,"1977","84"
"2967",0.491747890148149,0.220886247952581,0,0,"1980","84"
"2972",0.468717911104591,0.479002074645319,0,0,"1985","84"
"2977",0.359748422598396,0.433958914941342,0,0,"1990","84"
"2980",0.423332148137059,0.486090162247132,0,0,"1993","84"
"2985",0.502842542106505,0.355246325960334,0,0,"1998","84"
