"","INC_voteshare","BJP_voteshare","COUNT_1yr","INJURED_1yr","election","DISTRICT_ID_61"
"3008",0.457742124413553,0.0037834649927453,0,0,"1967","85"
"3010",0.411721156895742,0.00278702944170463,0,0,"1969","85"
"3012",0.250630391896076,0,0,0,"1971","85"
"3013",0.626910017674484,0.000400424712769117,0,0,"1972","85"
"3018",0.236987685683359,0,0,0,"1977","85"
"3023",0.353783993660699,0.00383858980296793,0,0,"1982","85"
"3028",0.386916824834707,0.0033760033311301,0,0,"1987","85"
"3032",0.297750711864076,0.14012436427625,0,0,"1991","85"
"3037",0.359990974245134,0.0746827276358605,0,0,"1996","85"
"3042",0.0929338917587165,0.0510225807039759,0,0,"2001","85"
"3062",0.505748380612251,0.0281407309329814,0,0,"1967","88"
"3067",0.580858241260357,0,0,0,"1972","88"
"3073",0.110633824345992,0,0,0,"1978","88"
"3078",0.44176615896895,0,0,0,"1983","88"
"3080",0.41299476014259,0.0593049239137348,0,0,"1985","88"
"3086",0.211729066818281,0.328007888670253,1,0,"1991","88"
"3091",0.328503113139118,0.269043535266828,0,0,"1996","88"
"3096",0.335967753840098,0.256689930045843,0,0,"2001","88"
"3116",0.440052639999556,0.0584209664785302,0.8009,6.4072,"1967","89"
"3118",0.437465889693115,0.0233651589184866,0,0,"1969","89"
"3120",0.411264442145694,0.0271036543619566,0,0,"1971","89"
"3121",0.57739166226693,0.000435052935782366,0,0,"1972","89"
"3126",0.250379445720937,0,0,0,"1977","89"
"3131",0.432548930166366,0.0119232543030415,0,0,"1982","89"
"3136",0.501709529317235,0.0100013195497176,0.8009,0,"1987","89"
"3140",0.421209835418238,0.122744165613386,0,0,"1991","89"
"3145",0.492127102854751,0.0687280601078116,0,0,"1996","89"
"3150",0.0406215581183455,0.0438977208179299,0,0,"2001","89"
"3174",0.654795921967051,0.173986665255583,0,0,"1972","92"
"3179",0.236631989596879,0,0,0,"1977","92"
"3184",0.502869753164902,0.338939644368563,0,0,"1982","92"
"3187",0.525321035333502,0.298656577192325,0,0,"1985","92"
"3192",0.35044076542679,0.449752741345947,0,0,"1990","92"
"3196",0.436120873153101,0.367076360322345,0,0,"1993","92"
"3200",0.436955054515125,0.48845771854063,0,0,"1998","92"
"3223",0.292411353123799,0.0969657405615506,0,0,"1967","93"
"3225",0.400662691654547,0.216491464614387,0,0,"1969","93"
"3228",0.374015888732622,0.115318394813353,0,0,"1972","93"
"3233",0.378421878728475,0,0,0,"1977","93"
"3236",0.422855670319798,0.0663270191806887,0,0,"1980","93"
"3241",0.385414108764257,0.0645017673663509,0,0,"1985","93"
"3246",0.220768373856224,0.194408450782285,0,0,"1990","93"
"3251",0.106731336963458,0.11505169846505,0,0,"1995","93"
"3256",0.0685047866008682,0.162705037352376,0,0,"2000","93"
"3277",0.423429877610481,0.0617386595616213,0,0,"1967","95"
"3282",0.525728111803034,0.0435365820371143,0,0,"1972","95"
"3289",0.371393995240111,0,0,0,"1978","95"
"3290",0.468002975083674,0.12124767571588,0,0,"1980","95"
"3295",0.385397397942083,0.0750619520903834,0,0,"1985","95"
"3301",0.298607827128816,0.0677138888594361,0,0,"1990","95"
"3305",0.240623771002949,0.200947491089658,0,0,"1995","95"
"3310",0.262973254156159,0.224386797905544,0,0,"1999","95"
"3389",0,0,0,0,"1971","99"
"3395",0.101979365252962,0,0,0,"1977","99"
"3398",0.192711904622717,0.00110384005667067,0,0,"1980","99"
"3403",0.116794862348851,0.00186938947556,0,0,"1984","99"
"3407",0.168482955254837,0.00268251853022038,0,0,"1989","99"
"3409",0.196441488299862,0.0126592519437199,0.0426,2.556,"1991","99"
"3414",0.07341378716938,0.0136688183075634,0.0426,0.5112,"1996","99"
"3419",0.0255594370941174,0.0123158268629637,0,0,"2001","99"
"3440",0.330754032539849,0.185074361368935,0,0,"1967","100"
"3444",0.412963925563988,0.255317600582181,0,0,"1972","100"
"3449",0.287285976573063,0,0,0,"1977","100"
"3452",0.378848864412444,0.218689606068092,0,0,"1980","100"
"3457",0.334495439893856,0.304413481498599,0,0,"1985","100"
"3462",0.340289670972791,0.355949937052706,0,0,"1990","100"
"3466",0.40679901880319,0.366126977594773,0,0,"1993","100"
"3470",0.27816003044159,0.403972793868432,0,0,"1998","100"
"3494",0.467222837260794,0.224582589638734,0,0,"1967","101"
"3498",0.592113294453763,0.186093628982207,0,0,"1972","101"
"3503",0.455187787945054,0,0,0,"1977","101"
"3506",0.645514245612597,0.209437654314664,0,0,"1980","101"
"3511",0.497964269722981,0.316824191348233,0,0,"1985","101"
"3516",0.345922988636481,0.472260709521988,0,0,"1990","101"
"3520",0.51979971049718,0.379829301449316,0,0,"1993","101"
"3524",0.564627111342248,0.38867405732999,0,0,"1998","101"
"3547",0.41267637674481,0.0645251608462584,0,0,"1967","102"
"3551",0.548170834106718,0.0513439220781517,0,0,"1972","102"
"3557",0.50167014228505,0,0,0,"1978","102"
"3562",0.447242899355735,0.0129369782499879,0,0,"1983","102"
"3564",0.404472672763015,0.0126638415295161,0,0,"1985","102"
"3568",0.465929082617384,0.00180410610278921,0,0,"1989","102"
"3574",0.264760067708538,0.166803133488171,0,0,"1994","102"
"3579",0.37420033199943,0.215008145925689,0,0,"1999","102"
"3601",0.491999251161439,0,0,0,"1967","104"
"3605",0.593511064014921,0.0281069485545921,0,0,"1972","104"
"3611",0.470010803618297,0,0,0,"1978","104"
"3616",0.392660744349833,0.0152108629437275,0,0,"1983","104"
"3618",0.454438038053182,0.010613365955066,0,0,"1985","104"
"3622",0.430234683690257,0.0123004236788564,0,0,"1989","104"
"3628",0.206117392632989,0.196631014785736,0,0,"1994","104"
"3633",0.287103573697934,0.183599991235566,0,0,"1999","104"
"3654",0.460709818777622,0,0,0,"1967","106"
"3659",0.5996299364891,0.0180828331348758,0,0,"1972","106"
"3665",0.416966587717893,0,0,0,"1978","106"
"3670",0.340661642615174,0.00429301608961896,0,0,"1983","106"
"3672",0.444517030967717,0,0,0,"1985","106"
"3677",0.483355612624093,0.0327017468959763,0,0,"1989","106"
"3682",0.343224924941122,0.0163205868076156,0,0,"1994","106"
"3686",0.4653092067028,0.023764600127789,0,0,"1999","106"
"3708",0.475842759862682,0.179366687301855,0,0,"1967","107"
"3713",0.567850562611042,0.20685826149898,0,0,"1972","107"
"3718",0.255238856501639,0,0,0,"1977","107"
"3721",0.482521327968586,0.304291926933071,0,0,"1980","107"
"3726",0.528357101640425,0.282519990107988,0,0,"1985","107"
"3731",0.324148892790866,0.383453860044771,0,0,"1990","107"
"3734",0.447572255613643,0.498799780200711,0,0,"1993","107"
"3739",0.48011293708825,0.457170781148194,0,0,"1998","107"
"3762",0.311249946610028,0.136585138561538,0,0,"1967","108"
"3767",0.541580484452843,0.117536505755025,0,0,"1972","108"
"3772",0.249611308277239,0,0,0,"1977","108"
"3775",0.297648860463021,0.185777343096504,0,0,"1980","108"
"3780",0.436856068793361,0.146461371544333,0,0,"1985","108"
"3785",0.316908381895456,0.144224685624151,0,0,"1990","108"
"3788",0.396657384202681,0.426854544976092,0,0,"1993","108"
"3793",0.500596819852761,0.357411830886582,0,0,"1998","108"
"3820",0,0,0,0,"1971","109"
"3826",0.169121666520228,0,0,0,"1977","109"
"3829",0.215857872596154,0.00041363650194742,0,0,"1980","109"
"3834",0.100006419795357,0.00207203010390192,0,0,"1984","109"
"3838",0.169351482517751,0.00371918846567825,0,0,"1989","109"
"3840",0.0548329536238468,0.0293498814435272,0,0,"1991","109"
"3845",0.0186131300487625,0.0186367964395374,0,0,"1996","109"
"3850",0.0126130218547191,0.0371392446745661,0,0,"2001","109"
"3870",0.426788618105791,0,0,0,"1967","110"
"3872",0.529705596662045,0.00226306387581085,0,0,"1969","110"
"3874",0.453915951533289,0,0,0,"1971","110"
"3875",0.623421421426705,0,0,0,"1972","110"
"3880",0.217053192319265,0,0,0,"1977","110"
"3885",0.381061546999287,0.00102798551835311,0,0,"1982","110"
"3890",0.44706622819836,0.00300545630697077,0,0,"1987","110"
"3894",0.328094090879971,0.132756702820125,0,0,"1991","110"
"3899",0.316954690967219,0.0762348671269267,0,0,"1996","110"
"3904",0.0769928025596235,0.0672981685245547,0,0,"2001","110"
"3924",0.442092063326193,0.150937875542087,0,0,"1967","111"
"3928",0.597478577586965,0.16790421058188,0,0,"1972","111"
"3934",0.48061725508534,0,0,0,"1978","111"
"3939",0.453273770705621,0.189376548845702,0,0,"1983","111"
"3941",0.470639450517558,0.059038190749519,0,0,"1985","111"
"3945",0.463199241872794,0.224590606730668,0,0,"1989","111"
"3951",0.262956977506006,0.385634417995195,0,0,"1994","111"
"3956",0.335251334725835,0.343619590993195,0,0,"1999","111"
"3977",0.29774510649754,0.00286682168431491,0,0,"1967","114"
"3981",0.264188761516281,0.00376159442373663,0,0,"1971","114"
"3984",0.369564766424796,0.000912015339045962,0,0,"1974","114"
"3987",0.286121291691079,0,0,0,"1977","114"
"3990",0.442682997824348,0.00401148614527726,0,0,"1980","114"
"3995",0.511121988175186,0.0107146687477609,0,0,"1985","114"
"4000",0.28997986149056,0.0134629345252431,0,0,"1990","114"
"4005",0.431030864515198,0.0348351110009096,0,0,"1995","114"
"4010",0.321059173014909,0.0665225411272608,0,0,"2000","114"
"4032",0.412060263496788,0.0881808434393384,0,0,"1967","117"
"4036",0.546800271772987,0.154754449119811,0,0,"1972","117"
"4042",0.486105269889054,0,0,0,"1978","117"
"4047",0.40692041699163,0.315162600951468,0,0,"1983","117"
"4049",0.501672361994448,0.198283056326645,0,0,"1985","117"
"4053",0.452969474251985,0.183006266526923,0,0,"1989","117"
"4059",0.334532131538133,0.351953773484939,0,0,"1994","117"
"4064",0.486029919345471,0.426329586324614,1,30,"1999","117"
"4085",0.450690267118394,0.180990573647699,0,0,"1967","118"
"4089",0.51010916694031,0.15478384409701,0,0,"1972","118"
"4094",0.34098536321138,0,0,0,"1977","118"
"4097",0.48274407063595,0.324581512224,0,0,"1980","118"
"4102",0.485146795130499,0.424196292190509,0,0,"1985","118"
"4107",0.211440552232512,0.479986256656932,0,0,"1990","118"
"4111",0.457029112043577,0.445160806901405,0,0,"1993","118"
"4115",0.456109026936341,0.3935828129369,0,0,"1998","118"
"4138",0.304554501751835,0.0581082334220786,0,0,"1967","119"
"4140",0.273101014545914,0.126490188694676,0,0,"1969","119"
"4143",0.326785447133186,0.102843437932453,0,0,"1972","119"
"4148",0.253798819602538,0,0,0,"1977","119"
"4151",0.406154849766255,0.037299279008183,0,0,"1980","119"
"4156",0.426406462547526,0.0506142174880438,0,0,"1985","119"
"4161",0.344089565070936,0.0570461718812228,1,0,"1990","119"
"4166",0.189345950878117,0.0917468589399883,0,0,"1995","119"
"4171",0.114463325619904,0.0947231303258551,0,0,"2000","119"
"4192",0.39214734950584,0.0208146151542378,0,0,"1967","120"
"4194",0.434523339628485,0.0178349131937065,0,0,"1969","120"
"4196",0.337196825751649,0,0,0,"1971","120"
"4197",0.462033810315405,0,0,0,"1972","120"
"4202",0.244386783664529,0,0,0,"1977","120"
"4207",0.310353490153963,0,0,0,"1982","120"
"4212",0.414372723347711,0,0,0,"1987","120"
"4216",0.209829255842513,0.068047982955176,0,0,"1991","120"
"4221",0.180053973375145,0.0433505706402931,0,0,"1996","120"
"4226",0.0824575648609983,0.047706762556548,0,0,"2001","120"
"4246",0.481450342240464,0,0,0,"1967","121"
"4251",0.447974763817298,0,0,0,"1972","121"
"4257",0.11172605792509,0,0,0,"1978","121"
"4262",0.497859792637687,0,0,0,"1983","121"
"4264",0.210917065522169,0.0020870756691473,0,0,"1985","121"
"4270",0.359715138316946,0.00929719927628186,0,0,"1991","121"
"4275",0.336236348561953,0.0681204971696495,0,0,"1996","121"
"4280",0.404518375217501,0.0569307746256784,0,0,"2001","121"
"4300",0.293383325981473,0.0113365681517424,0,0,"1967","122"
"4304",0.409255349359805,0.415786939289551,0,0,"1972","122"
"4309",0.303849135768687,0,0,0,"1977","122"
"4312",0.427394438722966,0.221657806106828,0,0,"1980","122"
"4317",0.613986048279329,0.335160052472201,0,0,"1985","122"
"4322",0.341305667543546,0.450391482340488,0,0,"1990","122"
"4326",0.385169056218542,0.372556874349846,0,0,"1993","122"
"4330",0.250392282210728,0.237589353170221,0,0,"1998","122"
"4407",0.379979876330343,0.184641602990507,0,0,"1967","126"
"4409",0.294933879811624,0.125529861438842,0,0,"1969","126"
"4414",0.297024535827836,0.0920620977164296,0,0,"1974","126"
"4417",0.306534984032456,0,0,0,"1977","126"
"4420",0.288393755826521,0.0740805393888297,0,0,"1980","126"
"4425",0.325145974151295,0.0938936566580743,0,0,"1985","126"
"4430",0.0763295576372521,0.113176925022787,0,0,"1989","126"
"4431",0.123969952830266,0.321793857947224,0,0,"1991","126"
"4434",0.136529417743767,0.313027041735297,0,0,"1993","126"
"4437",0.0629950188014461,0.283050266342206,0,0,"1996","126"
"4462",0.430541600173375,0.464349744862778,0,0,"1967","127"
"4466",0.506239214502543,0.448443186413263,0,0,"1972","127"
"4471",0.347530595346923,0,0,0,"1977","127"
"4474",0.397507822929231,0.482364606449785,0,0,"1980","127"
"4479",0.47975692440854,0.476698643969994,0,0,"1985","127"
"4484",0.368149679809567,0.541040714772416,0,0,"1990","127"
"4488",0.467170722680623,0.508972418472459,0,0,"1993","127"
"4492",0.506905101452542,0.471839929952015,0,0,"1998","127"
"4515",0.452108679160462,0.440937315613498,0,0,"1967","129"
"4519",0.597855002105367,0.361934956530354,0,0,"1972","129"
"4524",0.448965232152124,0,0,0,"1977","129"
"4527",0.566893718801997,0.390365016638935,0,0,"1980","129"
"4532",0.56950465824186,0.320461212065308,0,0,"1985","129"
"4537",0.429348191412289,0.501385476028651,0,0,"1990","129"
"4541",0.537121417404898,0.401419489317353,0,0,"1993","129"
"4545",0.491520070121548,0.424324201607347,0,0,"1998","129"
"4569",0.51936812100415,0.061806249384633,0,0,"1967","131"
"4573",0.559755350249607,0.0556264628699378,0,0,"1972","131"
"4579",0.442293296029313,0,0,0,"1978","131"
"4584",0.40847687136789,0.0548725688539257,0,0,"1983","131"
"4586",0.401713041266937,0.0360656884848878,1,10,"1985","131"
"4590",0.448131557358582,0.0266696611147787,0,0,"1989","131"
"4596",0.263782661428795,0.160464394584533,0,0,"1994","131"
"4601",0.385319411033604,0.177460365445069,0,0,"1999","131"
"4622",0.187401936915003,0,0,0,"1967","133"
"4626",0.306968075988203,0,0,0,"1971","133"
"4629",0.410058907910444,0,0,0,"1974","133"
"4632",0.22325365944043,0,0,0,"1977","133"
"4635",0.459763229380434,0.00454324385238609,0,0,"1980","133"
"4640",0.485411101363273,0.0761949589440792,0,0,"1985","133"
"4645",0.294875425918429,0.0285515211434509,0,0,"1990","133"
"4650",0.432795467632089,0.106076249853841,0,0,"1995","133"
"4655",0.255216596128203,0.169725822348483,0,0,"2000","133"
"4676",0.52282446366588,0.205784610052346,0,0,"1967","136"
"4681",0.627910470921769,0.13285762492272,0,0,"1972","136"
"4688",0.200994538705839,0,0,0,"1978","136"
"4689",0.51165498989069,0.0842561296707811,0,0,"1980","136"
"4694",0.498560198676737,0.112038006721474,0,0,"1985","136"
"4700",0.489173894994429,0.127146103257663,0,0,"1990","136"
"4704",0.376419154488296,0.131533218963778,0,0,"1995","136"
"4709",0.404673243036415,0.100351313487399,0,0,"1999","136"
"4728",0.590975405073914,0,0,0,"1967","142"
"4733",0.403268561075759,0.0444842103699964,0,0,"1972","142"
"4738",0.339442952152491,0,0,0,"1977","142"
"4741",0.621545312977544,0.0919285121741788,0,0,"1980","142"
"4746",0.705223291778444,0.148815757384481,0,0,"1985","142"
"4751",0.425348250321146,0.391092626841468,0,0,"1990","142"
"4754",0.51661307219975,0.425046561708815,0,0,"1993","142"
"4759",0.593809738806329,0.343624818682216,0,0,"1998","142"
"4782",0.440448639225977,0.00497295622604041,0,0,"1967","150"
"4787",0.558968320610021,0.00230870079063182,0,0,"1972","150"
"4793",0.39092734065689,0,0,0,"1978","150"
"4798",0.284454177477678,0.00122954847819286,0,0,"1983","150"
"4800",0.335065190358085,0,0,0,"1985","150"
"4805",0.486677470923984,0,0,0,"1989","150"
"4810",0.367640953192682,0.00970145594227603,0,0,"1994","150"
"4814",0.339317022158755,0.0679348277731684,0,0,"1999","150"
"4836",0.423261644948264,0.422683370413532,0,0,"1967","152"
"4840",0.529405891960752,0.439752564803981,1,14,"1972","152"
"4845",0.404854131102112,0,0,0,"1977","152"
"4848",0.490612534288773,0.446616210114026,0,0,"1980","152"
"4853",0.522390722569135,0.374490089054869,0,0,"1985","152"
"4858",0.304283352836908,0.474766819246695,0,0,"1990","152"
"4862",0.374915503022578,0.451416652181471,0,0,"1993","152"
"4866",0.448723196402355,0.445663306609326,0,0,"1998","152"
"4889",0.37645487808135,0.0053654888764255,0,0,"1967","154"
"4892",0.242807056468854,0.00325990741446932,0,0,"1970","154"
"4899",0.212173454079189,0,0,0,"1977","154"
"4902",0.155397634233364,0,0,0,"1980","154"
"4904",0.129104995575298,0.0243098332494664,0,0,"1982","154"
"4909",0.267860687752991,0.0376927132153905,0,0,"1987","154"
"4913",0.360828931092531,0.039828266106156,0.9919,0,"1991","154"
"4918",0.37334271872308,0.040891247390828,0,0,"1996","154"
"4923",0.402961867142612,0.0422562538451338,0,0,"2001","154"
"4943",0.330284208805153,0.267362622431331,0,0,"1967","156"
"4945",0.305451133620982,0.29351925581625,0,0,"1969","156"
"4950",0.287334851677037,0.141380428537023,0,0,"1974","156"
"4953",0.313753106299843,0,0,0,"1977","156"
"4956",0.356354493979414,0.155826462226632,0,0,"1980","156"
"4961",0.377360683158729,0.146204771546791,0,0,"1985","156"
"4966",0.336280014335205,0.183127871775672,0,0,"1989","156"
"4967",0.137192542018208,0.353135230383229,1,0,"1991","156"
"4970",0.133713839042042,0.37188705224878,0,0,"1993","156"
"4973",0.0577900300479569,0.345186809167622,0,0,"1996","156"
"4997",0.227691081710091,0.194672985481854,0,0,"1967","157"
"4999",0.297323374441503,0.16455057553171,0,0,"1969","157"
"5004",0.328613707800955,0.262864840592726,0,0,"1974","157"
"5007",0.222653540366042,0,0,0,"1977","157"
"5010",0.395908613361774,0.0445452157717961,0,0,"1980","157"
"5015",0.317281827867383,0.110511011016291,0,0,"1985","157"
"5020",0.344653047370542,0.0600649144020874,0,0,"1989","157"
"5021",0.159695637066642,0.272091339493861,0,0,"1991","157"
"5024",0.211728774923317,0.290118549628739,0,0,"1993","157"
"5027",0.12840631730079,0.266258674324001,0,0,"1996","157"
"5051",0.361073789654903,0.188044670701493,0,0,"1967","158"
"5053",0.326867576657375,0.155914813355957,0,0,"1969","158"
"5058",0.293885714630482,0.115415130654085,0,0,"1974","158"
"5061",0.310708655775294,0,0,0,"1977","158"
"5064",0.379574541739777,0.0453712408407348,0,0,"1980","158"
"5069",0.319907896392219,0.033745966078487,0,0,"1985","158"
"5074",0.282778292209499,0.0537461469314743,0.8158,40.79,"1989","158"
"5075",0.118245856868557,0.274513916074791,0,0,"1991","158"
"5078",0.103749997780331,0.281961015507496,0.8158,0,"1993","158"
"5081",0,0.298584383300679,0,0,"1996","158"
"5105",0.356200820405766,0.29839675468254,0,0,"1967","161"
"5107",0.364597633238918,0.199432637670078,0,0,"1969","161"
"5112",0.219973647831346,0.225151200967686,0,0,"1974","161"
"5115",0.336128176878116,0,0,0,"1977","161"
"5118",0.383300537764563,0.210572380958293,0,0,"1980","161"
"5123",0.436264572880454,0.154205153135634,0,0,"1985","161"
"5128",0.291695633730858,0.153928882665483,0,0,"1989","161"
"5129",0.185038256168845,0.234312261839547,0,0,"1991","161"
"5132",0.141412991304154,0.372387618186486,0,0,"1993","161"
"5135",0.102956408543138,0.337411585609781,0,0,"1996","161"
"5158",0.321636274696307,0.143996113813626,0,0,"1967","165"
"5160",0.345573712255773,0.145857904085258,0,0,"1969","165"
"5165",0.363765577371895,0.233468537011395,0,0,"1974","165"
"5168",0.303806682836318,0,0,0,"1977","165"
"5171",0.435921004900303,0.0447790559692086,0,0,"1980","165"
"5176",0.435533561169912,0.0864779253716814,0,0,"1985","165"
"5181",0.25725144034513,0.0518689962603503,0,0,"1989","165"
"5182",0.0696560758808043,0.186481527357314,0,0,"1991","165"
"5185",0.0816445350810281,0.321095318897209,0,0,"1993","165"
"5188",0,0.289755138212764,0,0,"1996","165"
"5212",0.393988677639975,0.120697666808469,0,0,"1967","166"
"5214",0.364354994185038,0.132221429201061,0,0,"1969","166"
"5217",0.411061285500747,0.0529919475384541,0,0,"1972","166"
"5222",0.343835842921614,0,0,0,"1977","166"
"5225",0.444847039849296,0.113333763124568,0,0,"1980","166"
"5231",0.378591888289937,0.0838123843812782,0,0,"1985","166"
"5237",0.357428298842556,0.121674160506746,0,0,"1992","166"
"5242",0.241533680337089,0.0903347378723458,0,0,"1997","166"
"5266",0.410901782125151,0.0313091250167493,0,0,"1967","173"
"5271",0.467128625080463,0.0358852592494703,0,0,"1972","173"
"5276",0.335485079519697,0,0,0,"1977","173"
"5279",0.505483991995998,0.0391476988494247,0,0,"1980","173"
"5284",0.442838268633113,0.00401988799863877,0,0,"1985","173"
"5289",0.307699849763513,0.054271016001054,0,0,"1990","173"
"5292",0.309867050962395,0.308252537513447,0,0,"1993","173"
"5297",0.363803643463001,0.302369652103704,0,0,"1998","173"
"5320",0.421477190732877,0,0,0,"1967","174"
"5324",0.351127511428555,0,0,0,"1971","174"
"5327",0.361153165136678,0,0,0,"1974","174"
"5330",0.31778398757762,0,0,0,"1977","174"
"5333",0.450696554609744,0,0,0,"1980","174"
"5338",0.529618872400235,0.00479211221831019,0,0,"1985","174"
"5343",0.317711782938853,0.0163152844687226,0,0,"1990","174"
"5348",0.318667992183085,0.0575945962508767,0,0,"1995","174"
"5353",0.337744619119519,0.0996395476211623,1,0,"2000","174"
"5384",0.338629520942109,0.101075688860094,0,0,"1967","178"
"5386",0.281076619493503,0.168107786890686,0,0,"1969","178"
"5389",0.269900237269824,0.105958412822143,0,0,"1972","178"
"5394",0.176600847891382,0,0,0,"1977","178"
"5397",0.289051681634986,0.107668762447262,0,0,"1980","178"
"5402",0.442543570783963,0.0774600868017584,0,0,"1985","178"
"5407",0.296589027120845,0.117483471786107,1,0,"1990","178"
"5412",0.199272990127496,0.0760438127788228,0,0,"1995","178"
"5417",0.0804701131772834,0.0674725440057733,0,0,"2000","178"
"5438",0.282564013152563,0.112027621365303,0,0,"1967","180"
"5440",0.321988845078017,0.139586071512823,0,0,"1969","180"
"5445",0.2965304720196,0.0909111414948328,0,0,"1974","180"
"5448",0.232338364123093,0,0,0,"1977","180"
"5451",0.306129766615808,0.0713001126115611,0,0,"1980","180"
"5456",0.349804035942037,0.0364090077926844,0,0,"1985","180"
"5461",0.174418363242374,0.106131028845031,0,0,"1989","180"
"5462",0.068779120486615,0.289706434955339,0,0,"1991","180"
"5465",0.0618137581217252,0.287966521822032,0,0,"1993","180"
"5468",0,0.301410541945063,0,0,"1996","180"
"5492",0.381313450612022,0,0,0,"1967","181"
"5497",0.610225818154438,0,0,0,"1972","181"
"5503",0.0416274708608924,0,0,0,"1978","181"
"5508",0.558722301014463,0,0,0,"1983","181"
"5510",0.188590017956854,0.00444089524231211,1,100,"1985","181"
"5516",0.232892601209794,0.074058868910491,0,0,"1991","181"
"5521",0.247829266436137,0.118703241556295,0,0,"1996","181"
"5526",0.295589583794458,0.04403229840089,0,0,"2001","181"
"5545",0.392474499250967,0.286199685905934,0,0,"1967","183"
"5547",0.402943141218959,0.340687367476686,0,0,"1969","183"
"5552",0.343278104880297,0.25383582988433,0,0,"1974","183"
"5555",0.362123956111071,0,0,0,"1977","183"
"5558",0.391071324645916,0.203334232761403,0,0,"1980","183"
"5563",0.47005461219681,0.213177925662588,1,0,"1985","183"
"5568",0.364894863504874,0.256885042662323,0,0,"1989","183"
"5569",0.197447809221897,0.490772527061147,2,30,"1991","183"
"5572",0.223445020814037,0.403565357834413,0,0,"1993","183"
"5575",0.0740648221461416,0.361998119050009,0,0,"1996","183"
"5599",0.291551309350529,0.147412612783822,0,0,"1967","186"
"5601",0.325182529902342,0.135942320270153,0,0,"1969","186"
"5606",0.298383761221243,0.139810246519146,0,0,"1974","186"
"5609",0.29064402333627,0,0,0,"1977","186"
"5612",0.260221154708106,0.0830432237754494,0,0,"1980","186"
"5617",0.369020820201899,0.0652310541256125,0,0,"1985","186"
"5622",0.258080826217169,0.0940956785911791,0,0,"1989","186"
"5623",0.208366875953293,0.304660944796878,0,0,"1991","186"
"5626",0.145896386532324,0.288493995893149,0,0,"1993","186"
"5629",0.0444981734517973,0.308435564468974,0,0,"1996","186"
"5653",0.376677854877118,0.117384598601604,0,0,"1967","187"
"5658",0.532850344665618,0.0825750655784223,0,0,"1972","187"
"5665",0.129907098889887,0,1,1,"1978","187"
"5666",0.447444718016949,0.249656773666493,0,0,"1980","187"
"5671",0.422372555255141,0.147135313556244,3,50,"1985","187"
"5677",0.329974228915645,0.165427651956691,1,4,"1990","187"
"5681",0.294286104482,0.186140591689679,0,0,"1995","187"
"5686",0.327955426190875,0.187325206616753,1,4,"1999","187"
"5707",0.573817398661641,0.0051893444094044,0,0,"1967","188"
"5711",0.54096097123071,0.0386012909844825,0,0,"1972","188"
"5717",0.448695869131654,0,0,0,"1978","188"
"5722",0.416430741470718,0.0584749558196049,0,0,"1983","188"
"5724",0.414198104898342,0.0315672755626382,0,0,"1985","188"
"5728",0.43256099232009,0.013795998442703,0,0,"1989","188"
"5734",0.279489834088393,0.115839627596265,0,0,"1994","188"
"5739",0.456848247131337,0.161745768787696,0,0,"1999","188"
"5761",0.175953322313364,0,0,0,"1967","189"
"5765",0.369325325397759,0.546659189377425,0,0,"1972","189"
"5770",0.351786696903503,0,0,0,"1977","189"
"5773",0.500225322780352,0.313811192635664,0,0,"1980","189"
"5778",0.479209766521927,0.40685126666212,0,0,"1985","189"
"5783",0.337189603096068,0.465803884591672,0,0,"1990","189"
"5787",0.397460591230044,0.374436939401766,0,0,"1993","189"
"5791",0.438313841926135,0.362157189447002,0,0,"1998","189"
"5814",0.490660501554502,0.0197838978319258,0,0,"1967","190"
"5819",0.498545314214867,0.0114513740827816,0,0,"1972","190"
"5825",0.423758027795266,0,0,0,"1978","190"
"5830",0.315254984973854,0.0131242641374951,0,0,"1983","190"
"5832",0.441648155639133,0,0,0,"1985","190"
"5837",0.511136627783768,0,0,0,"1989","190"
"5842",0.389868949763754,0.0124133749635542,0,0,"1994","190"
"5846",0.433659667917119,0.010678624311809,0,0,"1999","190"
"5868",0.392400051711322,0.21197871217263,0,0,"1967","191"
"5870",0.431873702884222,0.178078835235974,0,0,"1969","191"
"5873",0.500229682068976,0.135759966925782,0,0,"1972","191"
"5878",0.39221291789883,0,0,0,"1977","191"
"5881",0.472675617467809,0.151563029830912,0,0,"1980","191"
"5887",0.393797084272053,0.154170729163735,0,0,"1985","191"
"5893",0.506378708968417,0.314865139280424,0,0,"1992","191"
"5898",0.301331602402895,0.24141787334639,0,0,"1997","191"
"5922",0.39206268035212,0.147017163636954,0,0,"1967","192"
"5923",0.421634530545981,0.0701316424126207,0,0,"1968","192"
"5927",0.458905989295269,0.0323936808751008,0,0,"1972","192"
"5932",0.171900023669221,0,0,0,"1977","192"
"5937",0.360333198178061,0.0487171223247631,0,0,"1982","192"
"5942",0.324671086421571,0.0836962677524246,0,0,"1987","192"
"5946",0.376968834875229,0.139385351228513,0,0,"1991","192"
"5951",0.213074628065285,0.190415839049443,0,0,"1996","192"
"5955",0.274167253365397,0.142903989719168,0,0,"2000","192"
"5977",0.159542141698462,0.513322214352624,0,0,"1967","193"
"5981",0.319098280317206,0.465957408892453,0,0,"1972","193"
"5986",0.285646584284717,0,0,0,"1977","193"
"5989",0.36665600602013,0.333613018530712,0,0,"1980","193"
"5994",0.442323741432674,0.40126957424578,0,0,"1985","193"
