"DISTRICT_ID_61","election_year","STATE","seatnum","rd_INC_iv","rd_INC_seatprop","rd_INC_closeprop","rd_INC_seatnum","rd_INC_closenum","rd_INC_ivnum","rd_BJP_BJS_iv","rd_BJP_BJS_seatprop","rd_BJP_BJS_closeprop","rd_INC2_iv","rd_INC2_seatprop","rd_INC2_closeprop","rd_INC2_seatnum","rd_INC2_closenum","rd_INC2_ivnum","rd_INC3_iv","rd_INC3_seatprop","rd_INC3_closeprop","rd_INC3_seatnum","rd_INC3_closenum","rd_INC3_ivnum","COUNT","CASUALTIES","RIOTDAYS","COUNT_1yr","CASUALTIES_1yr","RIOTDAYS_1yr","COUNT.bin","COUNT.bin_1yr","muslim_prop","muslim_high","CM_INC","INC_dist_votes","BJP_BJS_dist_votes","total_votes","registered_voters","INC_voteshare","BJP_voteshare","Turnout","saturated","saturated2","saturated3","WEST_BENGALtrend","ANDHRA_PRADESHtrend","UTTAR_PRADESHtrend","GUJARATtrend","MAHARASHTRAtrend","RAJASTHANtrend","KERALAtrend","PUNJABtrend","MADHYA_PRADESHtrend","ORISSAtrend","KARNATAKAtrend","BIHARtrend","ASSAMtrend","HIMACHAL_PRADESHtrend","TAMIL_NADUtrend","HARYANAtrend","ARUNACHAL_PRADESHtrend","election_cycle","COUNT_1ec","CASUALTIES_1ec","RIOTDAYS_1ec","COUNT.bin_1ec","INC_voteshare_1ec","BJP_voteshare_1ec","Turnout_1ec","rd_INC_seatprop_1ec","rd_BJP_BJS_seatprop_1ec","log.COUNT","log.CASUALTIES","log.RIOTDAYS","ENP"
"1",1962,"WEST_BENGAL",42,0.0238095238095238,0.785714285714286,0.0238095238095238,33,1,1,0,0,0,0,0.785714285714286,0,33,0,0,0.0238095238095238,0.785714285714286,0.0238095238095238,33,1,1,13.9955,14.3892,15.9955,0,0,0,1,0,0.233796110784742,1,1,963179,0,1965420,3337176,0.490062683802953,0,0.588947061827126,"1:42","0:42","1:42",1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63945010960995,2.66717264948313,2.77293241317129,NA
"1",1967,"WEST_BENGAL",50,0.02,0.24,0.02,12,1,1,0,0.02,0,0,0.24,0,12,0,0,0.02,0.24,0.02,12,1,1,0.1991,10.9505,0.1991,0.1991,1.991,0.1991,1,1,0.233796110784742,1,0,980581,27800,2666754,3856943,0.367705832633981,0.0104246585924311,0.691416492284174,"1:50","0:50","1:50",1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",13.9955,14.3892,15.9955,1,0.490062683802953,0,0.588947061827126,0.785714285714286,0,-1.56494267254755,2.39429790091725,-1.56494267254755,2.63093899119333
"1",1969,"WEST_BENGAL",50,0,0.08,0,4,0,0,0,0,0,0,0.08,0,4,0,0,0,0.08,0,4,0,0,4.3982,197.1406,8.7964,0,0,0,1,0,0.233796110784742,1,0,1102455,5845,2824747,3995271,0.390284510435802,0.00206921186215969,0.707022627501363,"0:50","0:50","0:50",1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",0.1991,10.9505,0.1991,1,0.367705832633981,0.0104246585924311,0.691416492284174,0.24,0.02,1.48346644287215,5.283967903687,2.17547872987678,2.30989456735907
"1",1971,"WEST_BENGAL",50,0.04,0.28,0.1,14,5,2,0,0,0,0,0.28,0,14,0,0,0.04,0.28,0.1,14,5,2,0,0,0,1,4,1,0,1,0.233796110784742,1,0,707947,565,2786473,4325648,0.254065623460195,0.000202765287874672,0.644174699374521,"5:50","0:50","5:50",1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",4.3982,197.1406,8.7964,1,0.390284510435802,0.00206921186215969,0.707022627501363,0.08,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.8571974887708
"1",1972,"WEST_BENGAL",50,0.04,0.72,0.04,36,2,2,0,0,0,0,0.72,0,36,0,0,0.04,0.72,0.04,36,2,2,0,0,0,0,0,0,0,0,0.233796110784742,1,1,1362798,740,2929764,4449086,0.465156237840318,0.000252580071295845,0.658509185931672,"2:50","0:50","2:50",1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",0,0,0,0,0.254065623460195,0.000202765287874672,0.644174699374521,0.28,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.03950184788174
"1",1977,"WEST_BENGAL",55,0,0.0181818181818182,0,1,0,0,0,0,0,0,0.0181818181818182,0,1,0,0,0,0.0181818181818182,0,1,0,0,0,0,0,0,0,0,0,0,0.233796110784742,1,0,622933,0,2908509,5178831,0.214176060655133,0,0.561614966775321,"0:55","0:55","0:55",1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6",0,0,0,0,0.465156237840318,0.000252580071295845,0.658509185931672,0.72,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.61406303269093
"1",1982,"WEST_BENGAL",55,0.0363636363636364,0.0909090909090909,0.0545454545454545,5,3,2,0,0,0,0,0.0909090909090909,0,5,0,0,0.0363636363636364,0.0909090909090909,0.0545454545454545,5,3,2,0.3982,0.5973,0.3982,0,0,0,1,0,0.233796110784742,1,0,1467037,5264,4372359,5644923.0130533,0.335525285092098,0.00120392675898754,0.774564859412497,"3:55","0:55","3:55",1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7",0,0,0,0,0.214176060655133,0,0.561614966775321,0.0181818181818182,0,-0.895998028606393,-0.498732376078607,-0.895998028606393,2.0500846444613
"1",1987,"WEST_BENGAL",55,0.0363636363636364,0.127272727272727,0.0363636363636364,7,2,2,0,0,0,0,0.127272727272727,0,7,0,0,0.0363636363636364,0.127272727272727,0.0363636363636364,7,2,2,1.7964,13.1766,1.7964,0.1991,0,0.1991,1,1,0.233796110784742,1,0,2195592,4742,5232388,6715193.81899165,0.419615670703319,0.000906278357033156,0.779186445103336,"2:55","0:55","2:55",1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",0.3982,0.5973,0.3982,1,0.335525285092098,0.00120392675898754,0.774564859412497,0.0909090909090909,0,0.59133591441326,2.57920116246189,0.59133591441326,2.17007257463528
"1",1991,"WEST_BENGAL",55,0.0181818181818182,0.127272727272727,0.0181818181818182,7,1,1,0,0,0,0,0.127272727272727,0,7,0,0,0.0181818181818182,0.127272727272727,0.0181818181818182,7,1,1,1.5973,21.1091,2.5928,1,8,1,1,1,0.261395757128028,1,0,2299420,674440,6180752,7845172.09561327,0.372029164088771,0.109119408123801,0.787841480680334,"1:55","0:55","1:55",1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9",1.7964,13.1766,1.7964,1,0.419615670703319,0.000906278357033156,0.779186445103336,0.127272727272727,0,0.474555752592958,3.05017784429371,0.956587788638692,2.55222092599646
"1",1996,"WEST_BENGAL",55,0.109090909090909,0.2,0.181818181818182,11,10,6,0,0,0,0,0.2,0,11,0,0,0.109090909090909,0.2,0.181818181818182,11,10,6,1,1,1,0,0,0,1,0,0.261395757128028,1,0,3164028,391386,7511907,8934123.32912532,0.421201700180793,0.0521020827334524,0.840810757056724,"10:55","0:55","10:55",1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10",1.5973,21.1091,2.5928,1,0.372029164088771,0.109119408123801,0.787841480680334,0.127272727272727,0,0.00995033085316809,0.00995033085316809,0.00995033085316809,2.30810782303509
