unit_id,state,vet_pct,c_company_kia,suff_57_yes,suff_65_yes,diff_suff,elig_1865
ia_1,IOWA,0.392145381219758,-0.214531975785579,0.046583850931677,0.857142857142857,0.81055900621118,322
ia_2,IOWA,0.339061832549054,0.272264659231342,0.032,0.764,0.732,500
ia_3,IOWA,0.251756618142382,0.0213124163229769,0.0472689075630252,0.385241596638656,0.33797268907563,3808
ia_4,IOWA,0.393022940739652,-0.0572210978061256,0.0179589509692132,0.373432155074116,0.355473204104903,3508
ia_5,IOWA,0.153846153846154,-0.0274789670190947,0.0288461538461538,0.788461538461538,0.759615384615385,104
ia_6,IOWA,0.394566385245709,0.360173408969113,0.0322911327524347,0.934392619169657,0.902101486417222,1951
ia_7,IOWA,0.48100869628389,0.163158171056603,0.0307923394667668,0.865940668419076,0.835148328952309,2663
ia_8,IOWA,0.390762982072663,0.302104666715804,0.0351288056206089,0.949258391881343,0.914129586260734,1281
ia_9,IOWA,0.211593993450146,0.0604195888753314,0.0547858942065491,0.829974811083124,0.775188916876574,1588
ia_10,IOWA,0.299237328616262,0.0118452553936835,0.118982387475538,0.699412915851272,0.580430528375734,2555
ia_12,IOWA,0.516393492101798,0.11888686876016,0.0734177215189873,0.823628691983122,0.750210970464135,1185
ia_14,IOWA,0.267015992083651,0.0464637042332717,0.0128205128205128,0.884615384615385,0.871794871794872,78
ia_15,IOWA,0.31593460022281,-0.147369662495077,0,0.59304347826087,0.59304347826087,575
ia_16,IOWA,0.302613616335367,-0.0806022410739896,0.0499729875742842,0.502701242571583,0.452728254997299,3702
ia_19,IOWA,0.304248268025545,0.0478478555969411,0.0672579453067258,0.645232815964523,0.577974870657798,1353
ia_20,IOWA,0.252573723451413,-0.241406855790592,0.0127504553734062,0.527018822100789,0.514268366727383,1647
ia_22,IOWA,0.171901290430198,-0.0779918697071601,0.0209742895805142,0.384979702300406,0.364005412719892,1478
ia_23,IOWA,0.280633014271819,-0.0107554868889686,0.0291500460263885,0.487879717704817,0.458729671678429,3259
ia_25,IOWA,0.297398788388315,-0.155186077521196,0.080737444373808,0.7177368086459,0.636999364272092,1573
ia_26,IOWA,0.22799814160755,0.302263174643109,0.00681265206812652,0.310705596107056,0.303892944038929,4110
ia_27,IOWA,0.319676997414765,-0.0411921304483619,0.00792452830188679,0.311320754716981,0.303396226415094,2650
ia_28,IOWA,0.152106784882429,0.0641197065044648,0.0699001426533524,0.599144079885877,0.529243937232525,701
ia_29,IOWA,0.490889392080708,-0.0197315474746991,0.0101174934725849,0.360313315926893,0.350195822454308,3064
ia_31,IOWA,0.21406025475595,0.0102983553662612,0.0110845839017735,0.250341064120055,0.239256480218281,5864
ia_33,IOWA,0.292478472687901,-0.0357439808671195,0.0841346153846154,0.503739316239316,0.419604700854701,3744
ia_34,IOWA,0.283397019146755,0.105005688760002,0.138039215686275,0.894117647058824,0.756078431372549,1275
ia_36,IOWA,0.258946786395927,0.1272222048533,0.0193621867881549,0.452164009111617,0.432801822323462,1756
ia_37,IOWA,0.407227981136351,0.391512132003869,0.00740740740740741,0.790123456790123,0.782716049382716,405
ia_39,IOWA,0.3122980685176,0.119992870280512,0.0870010235414534,0.51381780962129,0.426816786079836,977
ia_42,IOWA,0.31327612935077,-0.00168046759626073,0.0500883912787272,0.833824395992929,0.783736004714202,1697
ia_43,IOWA,0.262721645226403,-0.138560878777546,0.00586756077116513,0.595976529756915,0.59010896898575,1193
ia_44,IOWA,0.329267654733682,-0.0229982743646658,0.0350247736203656,0.380830343413634,0.345805569793268,5853
ia_45,IOWA,0.287247920124765,0.237201738847446,0.0600193610842207,0.598257502420136,0.538238141335915,1033
ia_48,IOWA,0.307761776982265,-0.198792716194552,0.0371212121212121,0.49469696969697,0.457575757575758,2640
ia_49,IOWA,0.303472714649502,-0.0065146034120327,0.0206681766704417,0.342015855039638,0.321347678369196,3532
ia_50,IOWA,0.383269423666393,0.106306536751901,0.0410958904109589,0.827788649706458,0.786692759295499,3066
ia_51,IOWA,0.218460685307738,-0.121899060104189,0.0684852002321532,0.423099245502031,0.354614045269878,1723
ia_52,IOWA,0.13907303613277,-0.00395638180185555,0.013296011196641,0.37368789363191,0.360391882435269,1429
ia_53,IOWA,0.264039579874843,-0.216516236978502,0.0819482917820868,0.516620498614958,0.434672206832872,4332
ia_54,IOWA,0.322179840650239,-0.130785710565329,0.0357838364167478,0.423076923076923,0.387293086660175,4108
ia_56,IOWA,0.283023705011107,-0.104671637460398,0.0224559408754974,0.256964184195566,0.234508243320068,7036
ia_57,IOWA,0.176471362239558,-0.0273234878166782,0.0814814814814815,0.462037037037037,0.380555555555556,3240
ia_58,IOWA,0.353603642269679,0.132663086503681,0.0359928014397121,0.402819436112777,0.366826634673065,3334
ia_60,IOWA,0.372890718274419,0.168569300695101,0.0214318285453716,0.598267213862289,0.576835385316918,2193
ia_61,IOWA,0.393325133128301,-0.0155658832924133,0.0271857329273597,0.493040452370596,0.465854719443236,4598
ia_62,IOWA,0.364827299955696,0.25270109119766,0.00474965367108648,0.391450623392044,0.386700969720958,5053
ia_64,IOWA,0.227505530568925,0.0137530150581732,0.0127688172043011,0.459005376344086,0.446236559139785,1488
ia_65,IOWA,0.26343383025873,0.0313112607699843,0.223350253807107,0.882402707275804,0.659052453468697,1182
ia_67,IOWA,0.344367700405839,0.275502961452162,0.0244293151782139,0.478974769723669,0.454545454545455,2497
ia_68,IOWA,0.225831351442614,0.0339473640604902,0,0.75682382133995,0.75682382133995,403
