year,democracy
2000,0.56020942408377
2001,0.565445026178011
2002,0.578125
2003,0.583333333333333
2004,0.588541666666667
2005,0.588541666666667
2006,0.603092783505155
2007,0.595854922279793
2008,0.61139896373057
2009,0.606217616580311
2010,0.606217616580311
2011,0.61340206185567
2012,0.605128205128205
2013,0.605128205128205
2014,0.6
2015,0.61025641025641
2016,0.605128205128205
2017,0.6
2018,0.6
2019,0.605128205128205
2020,0.605128205128205
