midterm
25
22.5
20
15
9.5
22.5
18
24
22
21
24
18.75
12.75
11.25
17
19
21
17
20
14.25
22.25
19.5
12.25
17
14.5
16
17.75
15.65
13.5
22.5
22
17.5
21.5
11.25
17.5
20.5
13
10
16.75
22.5
6.5
16.25
6.5
13.5
15
16
13
16.5
18.25
17.5
14
18
15
11.5
17.5
15.25
12.25
21
16.5
19.25
13
15.5
14.75
17
14.5
15.75
11
16.5
15.5
21
10
22
15.75
22
19
20.25
10.25
4.75
18.25
24
16
12.5
15.25
14.75
11
19.25
20.5
19.75
20.5
11.75
17.5
22.5
18
10
15
15
16.25
19.75
20
13.5
9.75
17
10.5
11.5
15.75
18.5
18.5
21.5
15
8
21.5
8.5
19
17.25
17.5
21
17.75
18
12.5
17.5
12.75
19
18.5
17
12
20.75
15.5
13
23.75
14.75
15
15.5
16.5
17.5
21.5
13
17.25
13
19.5
21.75
20
18.5
22.5
13
18.25
16
14
16.75
13
16.5
19.5
21
11.75
15.5
20.5
12
14
18
20.5
9.5
17.5
5
23.5
22
21.5
15
15.5
21.5
10.5
11
20.5
21
14
11
19.25
22
20.5
15
16.25
20.75
8.5
23.5
17.5
14.5
18

14.5
23
19.5
15
21
17
21
23.5
15
18
18.25
22.5

22
19.5
9.25
17.5
13.75
23.5
15.5
8.75
11.5
17
17.25
19.25
17.25
17.5
18.5
11.5
17.5

