"Title","Questions Name","Questions Type","Answers"
"Poll 1",,,
,"Based on this correlation after conditioning, do you believe that Trump rallies cause hate crimes?","single",
,,,"Yes"
,,,"No"
,,,"Maybe"
,,,
"Poll 2",,,
,"Based on this correlation after conditioning, do you believe that Clinton rallies cause hate crimes?","single",
,,,"Yes"
,,,"No"
,,,"Maybe"
