"Title","Questions Name","Questions Type","Answers"
"Poll Causality",,,
,"Would you attend a small party if the fine were $230? Would you attend if the fine were $2300?","single",
,,,"$230: Yes, $2300: No"
,,,"$230: No, $2300: No"
,,,"$230: No, $2300: Yes"
,,,"$230: Yes, $2300: Yes"
