"Title","Questions Name","Questions Type","Answers"
"Poll Correlation 1",,,
,"Which of the following correlations are positive?","multiple",
,,,"A"
,,,"B"
,,,"C"
,,,"D"
,"Which has a stronger correlation?","single",
,,,"A"
,,,"C"
,,,"They are the same"
,"Which has a stronger correlation?","single",
,,,"B"
,,,"D"
,,,"They are the same"
