year,fh_score,free,decline,improve
1974,5.27027027027027,0.331707317073171,,
1975,5.24,0.317073170731707,0.108108108108108,0.108108108108108
1976,5.23684210526316,0.307317073170732,0.0933333333333333,0.1
1977,5.06962025316456,0.317073170731707,0.19205298013245,0.0596026490066225
1978,5.07594936708861,0.326829268292683,0.128205128205128,0.153846153846154
1979,5.14285714285714,0.307317073170732,0.111111111111111,0.222222222222222
1980,5.27388535031847,0.268292682926829,0.12987012987013,0.175324675324675
1981,5.45,0.273170731707317,0.0636942675159236,0.121019108280255
1982,5.37267080745342,0.292682926829268,0.15,0.125
1983,5.39263803680982,0.31219512195122,0.0807453416149068,0.0993788819875776
1984,5.45121951219512,0.282926829268293,0.116564417177914,0.104294478527607
1985,5.44848484848485,0.268292682926829,0.140243902439024,0.146341463414634
1986,5.51515151515152,0.268292682926829,0.0727272727272727,0.0848484848484849
1987,5.58787878787879,0.258536585365854,0.0484848484848485,0.096969696969697
1988,5.66060606060606,0.248780487804878,0.0606060606060606,0.145454545454545
1989,5.76969696969697,0.302439024390244,0.096969696969697,0.139393939393939
1990,5.90361445783133,0.302439024390244,0.181818181818182,0.284848484848485
1991,6.29878048780488,0.24390243902439,0.111111111111111,0.222222222222222
1992,6.62087912087912,0.204878048780488,0.0920245398773006,0.214723926380368
1993,6.77956989247312,0.185365853658537,0.17032967032967,0.203296703296703
1994,6.56842105263158,0.268292682926829,0.345945945945946,0.162162162162162
1995,6.60732984293194,0.263414634146342,0.126315789473684,0.115789473684211
1996,6.72251308900524,0.258536585365854,0.0523560209424084,0.151832460732984
1997,6.84293193717278,0.258536585365854,0.0680628272251309,0.162303664921466
1998,6.84293193717278,0.253658536585366,0.0471204188481675,0.0680628272251309
1999,6.98952879581152,0.24390243902439,0.0523560209424084,0.162303664921466
2000,6.99479166666667,0.229268292682927,0.0942408376963351,0.115183246073298
2001,7.04166666666667,0.234146341463415,0.0885416666666667,0.130208333333333
2002,7.05208333333333,0.234146341463415,0.0885416666666667,0.0833333333333333
2003,7.25,0.234146341463415,0.0729166666666667,0.21875
2004,7.328125,0.239024390243902,0.0628272251308901,0.130890052356021
2005,7.43229166666667,0.239024390243902,0.0572916666666667,0.135416666666667
2006,7.55729166666667,0.219512195121951,0.0520833333333333,0.140625
2007,7.53367875647668,0.219512195121951,0.0890052356020942,0.0785340314136126
2008,7.49222797927461,0.209756097560976,0.0673575129533679,0.0310880829015544
2009,7.47668393782383,0.204878048780488,0.077720207253886,0.0518134715025907
2010,7.38659793814433,0.229268292682927,0.10880829015544,0.0569948186528497
2011,7.39175257731959,0.229268292682927,0.0515463917525773,0.0515463917525773
2012,7.38461538461539,0.234146341463415,0.0567010309278351,0.0463917525773196
2013,7.37435897435897,0.229268292682927,0.0564102564102564,0.0666666666666667
2014,7.41025641025641,0.234146341463415,0.0512820512820513,0.082051282051282
2015,7.34871794871795,0.248780487804878,0.102564102564103,0.0461538461538462
2016,7.31794871794872,0.24390243902439,0.0871794871794872,0.0512820512820513
2017,7.25641025641026,0.239024390243902,0.107692307692308,0.0564102564102564
2018,7.24102564102564,0.239024390243902,0.0666666666666667,0.0461538461538462
2019,7.17948717948718,0.24390243902439,0.117948717948718,0.0717948717948718
2020,7.12820512820513,0.239024390243902,0.102564102564103,0.0564102564102564
2021,7.04615384615385,0.263414634146342,0.107692307692308,0.041025641025641
2022,6.98974358974359,0.273170731707317,0.082051282051282,0.041025641025641
